,High,Low,Open,Close,Volume,tweets,Marketcap,google_trends,profitability,transaction_fee,change,fluction,price,Date
729,8136.9452227,7814.76324378,7922.147041600001,7909.72939346,42213940993.6104,24544.0,144465567734.489,52.043,0.113,0.113,1,0.00022,7911.43012933,2020-03-10
730,7950.81435628,7642.81243049,7910.08980669,7911.43012933,38682762604.6366,23550.0,144508402670.56302,45.001999999999995,0.111,0.111,0,-0.3717,4970.78790105,2020-03-11
731,7929.11601884,4860.35383012,7913.61638784,4970.78790105,53980357243.0501,44735.0,90804613600.616,94.70100000000001,0.12,0.12,1,0.11928,5563.70689169,2020-03-12
732,5838.11493749,4106.98075029,5017.83083939,5563.70689169,74156772074.9603,43020.0,101644613038.335,127.97399999999999,0.0787,0.0787,0,-0.06531,5200.36626392,2020-03-13
733,5625.22650517,5125.06934725,5573.07764952,5200.36626392,36154506007.5848,22922.0,95014981943.9861,82.12799999999999,0.0805,0.0805,1,0.03691,5392.31488002,2020-03-14
734,5836.64500618,5169.28339052,5201.06668673,5392.31488002,33997889638.762,22102.0,98530059889.968,70.61,0.0849,0.0849,0,-0.07007,5014.47997748,2020-03-15
735,5385.22952159,4575.35788665,5385.22952159,5014.47997748,45368026429.6205,27432.0,91633478850.4746,91.333,0.0777,0.0777,1,0.04211,5225.62919259,2020-03-16
736,5371.34851644,4981.90941273,5002.5781383,5225.62919259,38622642935.2466,26159.0,95499941183.34,75.92399999999999,0.0878,0.0878,1,0.00245,5238.43857664,2020-03-17
737,5331.83385967,5069.336151899999,5227.1136885,5238.43857664,37878801016.3368,26644.0,95740715528.8542,69.99600000000001,0.0693,0.0693,1,0.18188,6191.19295222,2020-03-18
738,6329.73594838,5236.96875288,5245.416603199999,6191.19295222,51000731797.4328,29033.0,113162079955.69699,76.654,0.0901,0.0901,1,0.00123,6198.77820508,2020-03-19
739,6844.26152806,5865.78196437,6191.65372133,6198.77820508,54442976102.5119,28150.0,113309245860.002,75.283,0.107,0.107,0,-0.00221,6185.06651501,2020-03-20
740,6378.13517055,5932.82338618,6206.52165025,6185.06651501,42494390879.6104,25403.0,113068192795.056,64.485,0.0999,0.0999,0,-0.05737,5830.25479765,2020-03-21
741,6359.69729033,5823.71407014,6185.55790292,5830.25479765,40099664740.0619,27844.0,106591196068.926,57.571000000000005,0.0939,0.0939,1,0.10052,6416.31475839,2020-03-22
742,6443.93454693,5785.00445322,5831.37473534,6416.31475839,46491915999.7158,28657.0,117314776187.32,62.021,0.0972,0.0972,1,0.04964,6734.80378045,2020-03-23
743,6789.02272423,6411.06651215,6436.64245088,6734.80378045,48221910672.248,31076.0,123148917787.229,62.766999999999996,0.10800000000000001,0.10800000000000001,0,-0.00798,6681.06312656,2020-03-24
744,6892.51135949,6536.92618369,6738.71663989,6681.06312656,44590107887.9421,26878.0,122174009142.91,55.613,0.0871,0.0871,1,0.0053,6716.44054866,2020-03-25
745,6735.4638794,6590.96271561,6675.17065538,6716.44054866,35319797641.53,24772.0,122834375215.51,52.43899999999999,0.152,0.152,0,-0.03672,6469.79813509,2020-03-26
746,6793.83619652,6466.70180578,6719.38897407,6469.79813509,34585598366.5512,24128.0,118336082172.395,49.728,0.11800000000000001,0.11800000000000001,0,-0.03518,6242.1938684,2020-03-27
747,6467.501165,6117.83774851,6467.25404592,6242.1938684,34885225901.0064,20983.0,114183689640.72,51.368,0.10300000000000001,0.10300000000000001,0,-0.05129,5922.0431227,2020-03-28
748,6250.46730894,5920.08601757,6245.62462695,5922.0431227,28373690930.5441,22187.0,108338520155.504,49.632,0.121,0.121,1,0.08575,6429.84193389,2020-03-29
749,6517.19578925,5903.23434726,5925.53848884,6429.84193389,37101651525.2979,24425.0,117640143688.45801,50.126999999999995,0.113,0.113,1,0.00137,6438.64476637,2020-03-30
750,6504.51532416,6374.16217148,6430.60652809,6438.64476637,32786468812.0812,24944.0,117814077266.53699,45.496,0.12300000000000001,0.12300000000000001,1,0.02611,6606.77626829,2020-03-31
751,6612.57379089,6202.37351173,6437.31921486,6606.77626829,40346426265.7324,27700.0,120903014693.267,47.256,0.114,0.114,1,0.02828,6793.62459642,2020-04-01
752,7088.24732438,6595.91827654,6606.77626829,6793.62459642,47660646124.4133,29947.0,124335130640.41,51.773999999999994,0.12300000000000001,0.12300000000000001,0,-0.00887,6733.3873906,2020-04-02
753,7003.22078432,6673.33575767,6797.39659183,6733.3873906,38976504902.967995,33185.0,123244051099.79301,49.148999999999994,0.114,0.114,1,0.01992,6867.52731596,2020-04-03
