,High,Low,Open,Close,Volume,tweets,Marketcap,google_trends,profitability,transaction_fee,change,fluction,price,Date
596,191.846761455,182.36436932700002,182.670386019,190.342582145,10622761957.6111,20623205053.7217,4693.0,3.175,0.0137,0.0137,0,-0.02969,184.69216438799998,2019-10-29
597,191.111939169,181.546374236,190.33639070400002,184.69216438799998,10484902804.1386,20013431226.5606,4088.0,2.904,0.0135,0.0135,0,-0.00393,183.966917607,2019-10-30
598,188.75126675299998,180.06835692200002,184.797621023,183.966917607,9607939606.41939,19937256794.3697,4026.0,2.985,0.0132,0.0132,1,2e-05,183.969902446,2019-10-31
599,185.059713079,181.09449208400002,183.80369075599998,183.969902446,9145611130.24049,19940014310.5249,3420.0,2.605,0.0132,0.0132,0,-0.00024,183.925717366,2019-11-01
600,185.70895354900003,182.79767278,184.018152481,183.925717366,8087991830.26898,19937622286.6921,3428.0,2.29,0.0132,0.0132,0,-0.00816,182.425021922,2019-11-02
601,185.024219491,179.818138575,183.99482512400002,182.425021922,8760247743.89708,19777347724.088,3582.0,2.305,0.0134,0.0134,1,0.02154,186.35519078099998,2019-11-03
602,188.02293649,181.821602875,182.31903120599998,186.35519078099998,10551917945.359001,20205859402.4272,4158.0,2.8960000000000004,0.0137,0.0137,1,0.01582,189.304170553,2019-11-04
603,191.257831666,184.331984425,186.309310325,189.304170553,10024177342.2628,20528094420.2551,3882.0,3.233,0.0138,0.0138,1,0.0121,191.59384145299998,2019-11-05
604,193.54724851400002,188.667680659,189.11349691,191.59384145299998,10156458684.4372,20778894603.3483,4159.0,2.9789999999999996,0.0138,0.0138,0,-0.01888,187.97654373400002,2019-11-06
605,191.861093313,186.567003385,191.50430650799998,187.97654373400002,9081247798.75312,20389037933.9408,3422.0,2.693,0.0138,0.0138,0,-0.02003,184.211470298,2019-11-07
606,188.815971577,182.541361904,187.924264977,184.211470298,9176780911.47042,19983058355.9185,3196.0,2.7680000000000002,0.0135,0.0135,1,0.00444,185.028722122,2019-11-08
607,185.838538565,183.90223094900003,184.311722495,185.028722122,7277418704.1412,20074095541.1634,3074.0,2.438,0.0132,0.0132,1,0.02404,189.477274196,2019-11-09
608,190.92061632,184.686781539,184.943355818,189.477274196,8752784211.20736,20559121064.6157,3065.0,2.519,0.0132,0.0132,0,-0.02105,185.48964610599998,2019-11-10
609,190.338424095,185.08631668400002,189.502924735,185.48964610599998,7877424105.78575,20128792759.8642,3789.0,2.904,0.0134,0.0134,1,0.0073,186.84341155400003,2019-11-11
610,187.94803010200002,184.191052582,185.564841787,186.84341155400003,7792186666.389159,20278071676.0219,3573.0,2.714,0.0132,0.0132,1,0.00757,188.25874522400002,2019-11-12
611,189.33187800299999,185.93794917099999,186.94244167099998,188.25874522400002,7343173595.616321,20434064781.4449,3679.0,2.8680000000000003,0.013000000000000001,0.013000000000000001,0,-0.012,185.99963594599998,2019-11-13
